,Unnamed: 0,date,open,high,low,close,volume
83,83,2024-06-24 10:38:00+05:30,829.45,829.85,829.2,829.25,15455
84,84,2024-06-24 10:39:00+05:30,829.25,829.6,829.0,829.1,10374
85,85,2024-06-24 10:40:00+05:30,829.1,830.6,829.0,830.6,31482
86,86,2024-06-24 10:41:00+05:30,830.5,831.0,830.1,830.85,43886
87,87,2024-06-24 10:42:00+05:30,830.85,831.0,829.75,829.95,40918
88,88,2024-06-24 10:43:00+05:30,830.0,830.1,829.3,829.65,27309
89,89,2024-06-24 10:44:00+05:30,829.55,830.2,829.3,830.0,31159
90,90,2024-06-24 10:45:00+05:30,830.15,830.5,829.5,829.5,35193
91,91,2024-06-24 10:46:00+05:30,829.5,829.6,829.0,829.5,19317
92,92,2024-06-24 10:47:00+05:30,829.5,830.0,829.45,829.85,23892
93,93,2024-06-24 10:48:00+05:30,829.6,829.95,829.15,829.45,32497
94,94,2024-06-24 10:49:00+05:30,829.4,829.45,828.2,828.2,60228
95,95,2024-06-24 10:50:00+05:30,828.25,828.65,827.5,827.8,50445
96,96,2024-06-24 10:51:00+05:30,828.15,828.85,828.0,828.25,24559
97,97,2024-06-24 10:52:00+05:30,828.2,829.5,828.15,829.15,22989
98,98,2024-06-24 10:53:00+05:30,829.2,829.3,828.2,828.5,26643
99,99,2024-06-24 10:54:00+05:30,828.2,829.35,828.2,828.55,23948
100,100,2024-06-24 10:55:00+05:30,828.6,828.6,828.1,828.35,12903
101,101,2024-06-24 10:56:00+05:30,828.2,828.95,828.15,828.25,18514
102,102,2024-06-24 10:57:00+05:30,828.3,828.8,828.15,828.45,10172
103,103,2024-06-24 10:58:00+05:30,828.45,829.15,828.2,828.8,14958
104,104,2024-06-24 10:59:00+05:30,828.75,828.9,828.4,828.5,15247
105,105,2024-06-24 11:00:00+05:30,828.5,828.95,828.2,828.3,31686
106,106,2024-06-24 11:01:00+05:30,828.3,829.0,828.3,828.95,11665
107,107,2024-06-24 11:02:00+05:30,829.0,829.5,828.7,829.0,24563
108,108,2024-06-24 11:03:00+05:30,829.25,829.9,829.25,829.6,79629
109,109,2024-06-24 11:04:00+05:30,829.6,830.0,829.0,829.15,51878
110,110,2024-06-24 11:05:00+05:30,829.05,829.4,828.7,829.0,20675
111,111,2024-06-24 11:06:00+05:30,829.0,830.0,829.0,829.9,34808
112,112,2024-06-24 11:07:00+05:30,829.9,830.5,829.65,830.25,180831
113,113,2024-06-24 11:08:00+05:30,830.1,830.4,829.9,830.1,27849
114,114,2024-06-24 11:09:00+05:30,830.1,830.2,829.6,830.1,29508
115,115,2024-06-24 11:10:00+05:30,830.35,831.2,830.1,830.2,128645
116,116,2024-06-24 11:11:00+05:30,830.3,830.65,830.0,830.65,21619
117,117,2024-06-24 11:12:00+05:30,830.45,831.45,830.45,831.1,65890
118,118,2024-06-24 11:13:00+05:30,830.8,831.1,830.5,831.0,28293
119,119,2024-06-24 11:14:00+05:30,830.9,831.6,830.65,831.6,51797
120,120,2024-06-24 11:15:00+05:30,831.5,832.5,831.5,832.25,87967
121,121,2024-06-24 11:16:00+05:30,832.0,832.35,831.5,831.65,27149
122,122,2024-06-24 11:17:00+05:30,831.65,831.65,831.1,831.25,30325
123,123,2024-06-24 11:18:00+05:30,831.5,832.9,831.35,832.45,78836
124,124,2024-06-24 11:19:00+05:30,832.5,833.4,832.1,832.2,77503
125,125,2024-06-24 11:20:00+05:30,832.25,833.7,832.0,833.25,56040
126,126,2024-06-24 11:21:00+05:30,833.6,833.7,833.0,833.65,28188
127,127,2024-06-24 11:22:00+05:30,833.65,834.3,833.3,834.3,53789
128,128,2024-06-24 11:23:00+05:30,834.3,834.3,833.0,833.65,48275
129,129,2024-06-24 11:24:00+05:30,833.45,833.55,832.15,832.55,43720
130,130,2024-06-24 11:25:00+05:30,832.6,832.8,831.9,832.5,29014
131,131,2024-06-24 11:26:00+05:30,832.2,833.25,832.15,833.0,30904
132,132,2024-06-24 11:27:00+05:30,833.0,833.75,832.6,833.0,27431
133,133,2024-06-24 11:28:00+05:30,833.0,833.25,832.2,832.55,30741
134,134,2024-06-24 11:29:00+05:30,832.55,832.7,831.9,832.0,52268
135,135,2024-06-24 11:30:00+05:30,832.0,832.35,831.6,831.75,25643
136,136,2024-06-24 11:31:00+05:30,831.9,832.5,831.9,832.4,15432
137,137,2024-06-24 11:32:00+05:30,832.5,832.65,832.1,832.4,17162
138,138,2024-06-24 11:33:00+05:30,832.4,832.8,832.0,832.45,15942
139,139,2024-06-24 11:34:00+05:30,832.85,833.2,832.55,833.0,19056
140,140,2024-06-24 11:35:00+05:30,832.85,833.3,832.6,833.1,13597
141,141,2024-06-24 11:36:00+05:30,833.0,833.8,833.0,833.55,28003
142,142,2024-06-24 11:37:00+05:30,833.8,834.0,832.9,832.95,17398
143,143,2024-06-24 11:38:00+05:30,832.95,833.0,831.75,832.35,28972
144,144,2024-06-24 11:39:00+05:30,832.05,832.55,832.05,832.4,15075
145,145,2024-06-24 11:40:00+05:30,832.05,832.35,831.7,832.0,22766
146,146,2024-06-24 11:41:00+05:30,832.0,832.0,830.55,831.15,32483
147,147,2024-06-24 11:42:00+05:30,831.1,831.35,830.55,830.85,26913
148,148,2024-06-24 11:43:00+05:30,830.85,831.4,830.65,831.2,18852
149,149,2024-06-24 11:44:00+05:30,831.15,831.45,830.7,831.25,15048
150,150,2024-06-24 11:45:00+05:30,831.0,831.35,830.3,830.9,33270
151,151,2024-06-24 11:46:00+05:30,830.7,831.5,830.7,831.0,13463
152,152,2024-06-24 11:47:00+05:30,831.0,832.0,831.0,831.85,17347
153,153,2024-06-24 11:48:00+05:30,832.0,832.5,831.7,832.4,52273
154,154,2024-06-24 11:49:00+05:30,832.25,832.5,831.9,832.0,13470
155,155,2024-06-24 11:50:00+05:30,832.0,833.0,831.7,832.95,23709
156,156,2024-06-24 11:51:00+05:30,832.95,833.0,832.35,832.7,12784
157,157,2024-06-24 11:52:00+05:30,832.7,833.0,832.45,832.85,7986
158,158,2024-06-24 11:53:00+05:30,832.8,833.5,832.5,833.4,17459
159,159,2024-06-24 11:54:00+05:30,833.2,834.0,833.0,833.95,20356
160,160,2024-06-24 11:55:00+05:30,833.95,834.0,833.5,833.75,24022
161,161,2024-06-24 11:56:00+05:30,833.65,833.75,832.65,832.9,10098
162,162,2024-06-24 11:57:00+05:30,833.0,833.35,832.6,832.95,9992
163,163,2024-06-24 11:58:00+05:30,833.15,833.4,832.65,833.25,6627
